"","longL93fic","latL93fich"
"1",985620.94,6401929.56
"2",985577.66,6401911.98
"3",985577.39,6401899.34
"4",985560.55,6401901.79
"5",985566.22,6401856.93
"6",998397.09,6403579.51
"7",997921.39,6403646.65
"8",997757.06,6403626.15
"9",997738.73,6403604.02
"10",997735.94,6403597.64
"11",997758.07,6403572.42
"12",997756.56,6403561.94
"13",997679.61,6403561.83
"14",997721.38,6403630.42
"15",997611.75,6403605.17
"16",928475.79,6352539.18
"17",928446.19,6352515.66
"18",925591.24,6355509.32
"19",923786.8824,6415148.4252
"20",924209.1126,6415316.403
"21",924139.2888,6415244.5416
"22",924187.9428,6414956.316
"23",923690.856,6414621.8316
"24",997775.6,6403675.9
"25",997769.87,6403644.24
"26",997767.82,6403663.16
"27",998012.53,6414315.65
"28",998000.75,6414320.72
"29",910554.8532,6479432.3856
"30",996328.63,6426847.2
"31",919618.4,6576471.86
"32",919544.05,6576743.98
"33",973921.15,6568249.82
"34",973619.16,6568636.98
"35",911906.2872,6480607.8144
"36",911850.96,6480661.8096
"37",911875.5162,6480778.9956
"38",911858.394,6480807.966
"39",911804.487,6480813.7842
"40",910516.97,6342681.67
"41",910566.47,6342726.23
"42",910351.78,6342566.22
"43",910370.51,6342537.17
"44",911777.4546,6480789.2994
"45",911744.3868,6480698.8248
"46",911749.2618,6480874.0068
"47",911504.3034,6480626.8134
"48",911550.1182,6480580.7124
"49",911565.4476,6480562.9026
"50",929764.13,6358509.74
"51",910011.31,6310279.1
"52",911395.5342,6480341.5098
"53",911497.5906,6480072.9816
"54",911383.1838,6479839.9344
"55",911371.3236,6479847.8622
"56",911372.6604,6479898.0234
"57",913536.2,6310760.54
"58",910925.7762,6479687.5062
"59",910935.9768,6479707.5228
"60",911045.3946,6479642.589
"61",910887.606,6479601.4182
"62",910938.0786,6479568.0276
"63",910977.102,6479548.9146
"64",910574.2446,6478688.9874
"65",910578.7038,6478682.2494
"66",910529.7222,6479462.0868
"67",910529.1774,6479491.8486
"68",920555.9712,6402045.6456
"69",925177.6398,6579144.039
"70",911561.8896,6480591.3384
"71",927028.749,6376254.15
"72",959104.6,6388502.31
"73",937195.21,6389277.16
"74",936986.77,6389173.78
"75",937305.2,6389249.75
"76",937372.87,6389227.97
"77",950371.81,6318060.39
"78",950275.42,6318060.58
"79",946849.79,6379657.01
"80",946877.36,6379674.43
"81",981069.25,6362926.5
"82",979128.76,6361470
"83",981620.92,6363815.88
"84",981627.33,6363913.25
"85",982049.44,6364675.77
"86",952025.44,6358123.99
"87",999719.1,6367503.99
"88",1006559.07,6392304.01
"89",1006627.33,6392298.34
"90",981631.84,6327215.5
"91",988880.04,6325456.09
"92",988601.14,6325800.74
"93",978089.53,6329175.85
"94",990504.93,6319443.97
"95",985163.98,6333176.45
"96",990082.99,6320803.12
"97",980080.23,6333916.09
"98",980832.6,6331801.43
"99",986945.47,6338897.57
"100",980409.57,6326957.02
"101",979629.68,6327202.78
"102",978918.12,6328949.08
"103",991403.17,6323859.94
"104",980408.12,6328473.42
"105",986795.74,6334009.01
"106",986581.08,6333902.18
"107",987278.37,6330362.26
"108",984304.53,6335121.66
"109",985019.02,6334917.61
"110",988812.57,6335142.88
"111",986488.77,6336288.33
"112",981930.06,6327627.17
"113",976301.77,6337227.97
"114",954946.81,6356839.68
"115",919528.29,6346948.61
"116",920411.62,6346929.39
"117",961056.38,6366186.15
"118",960967.53,6364658.44
"119",961012.8,6364796.41
"120",930226.26,6309798.99
"121",932191.8,6315535.75
"122",991905.8,6342299.04
"123",992082.88,6342508.43
"124",992757.82,6342291.46
"125",995595.47,6339736.95
"126",995927.73,6339513.27
"127",995997.03,6339343.34
"128",995000.35,6338591.98
"129",994599.03,6341424.15
"130",994837.84,6340974.83
"131",996476.05,6341910.44
"132",939940.61,6332640.42
"133",939784.75,6332620.5
"134",939759.37,6332528.48
"135",939639.96,6332517.94
"136",939109.9,6332010.54
"137",939155.54,6332044.29
"138",939222.92,6332094.87
"139",939262.72,6332168.43
"140",939259.01,6332209.31
"141",939298.89,6332261.86
"142",939386.36,6332258.17
"143",939469.55,6332215.28
"144",939449.01,6332090.42
"145",934352.55,6325541.23
"146",934221.68,6325407.3
"147",934472.34,6325447.6
"148",934371.66,6325356.81
"149",934429.73,6324803.58
"150",934080.37,6324871.71
"151",934104.09,6324972.66
"152",934012.29,6324739.11
"153",934548.26,6325660.55
"154",934544.52,6325839.54
"155",934503.83,6325533.82
"156",932937.63,6318671.32
"157",932843.56,6318652.85
"158",932809.53,6318850.74
"159",932757.09,6318899.85
"160",932713.58,6319080.38
"161",932883.39,6319300.77
"162",932794.54,6319376.56
"163",932714.54,6319467.68
"164",932496.14,6319703.84
"165",932587.97,6319704.2
"166",932565.6,6319919.53
"167",932707.93,6320060.85
"168",932750.23,6320149.47
"169",932840.05,6320164.78
"170",933041.01,6320186.18
"171",933126.51,6320456.51
"172",933137.53,6320766.13
"173",932186.68,6315359.43
"174",932196.53,6315248.71
"175",931957.43,6315236.96
"176",932000.68,6315083.43
"177",932068.69,6315538.24
"178",932039.08,6315655.24
"179",931938.28,6314316.6
"180",931973.57,6314182.79
"181",929693.49,6308410.67
"182",929611.49,6308714.93
"183",930031.64,6308474.96
"184",929115.42,6306925.69
"185",929137.58,6307094.62
"186",929425.31,6307653.42
"187",929587.02,6307288.99
"188",929806.55,6307789.3
"189",938129.92,6314171.82
"190",938362.35,6314169.55
"191",938298.99,6314199.19
"192",940828.06,6314714.07
"193",940722.04,6314685.02
"194",940599.59,6314631.33
"195",940903.53,6314708.93
"196",941331.85,6314865.33
"197",948373.82,6330491.32
"198",948508.51,6330481.6
"199",948478.96,6330443.41
"200",948449.06,6330414.22
"201",948295.89,6330306.12
"202",948223.68,6330214.22
"203",948202.47,6330184.37
"204",949259.01,6330859.4
"205",949347.26,6330836.86
"206",949265.01,6331036.77
"207",949204.45,6330906.29
"208",949176.08,6331003.24
"209",949474.37,6330890.91
"210",949458.36,6330967.34
"211",949660,6330834.19
"212",949652.11,6330960.97
"213",949745.77,6331002.7
"214",961532.54,6357800.19
"215",1003201.84,6366818.18
"216",1003262.07,6366910.17
"217",1003263.8,6366874.22
"218",1003439.99,6366885.72
"219",1003454.74,6366937.48
"220",1003459.37,6366945.71
"221",1002767.82,6365909.4
"222",923874.43,6312945.04
"223",922376.04,6312140.81
"224",913774.69,6307457.24
"225",916239.77,6308394.33
"226",911113.87,6307353.17
"227",927679.15,6314454.44
"228",923471.22,6312288.38
"229",998943.37,6358288.26
"230",998912.17,6359051.53
"231",995395.35,6360143.69
"232",995306.04,6360054.42
"233",995841,6360316.77
"234",998572.77,6360610.94
"235",998506.61,6360595.79
"236",996672.6,6360310.88
"237",996607.53,6360104.62
"238",996621.7,6360048.23
"239",996552.54,6360127.05
"240",996391.19,6360010.34
"241",996346.09,6359975.19
"242",996237.26,6359965.06
"243",996604.29,6360173.53
"244",996496.73,6360273.56
"245",996356.93,6360478.18
"246",996806.11,6360758.59
"247",998694.1,6358250.4
"248",998589.17,6358369.55
"249",998423.15,6358229.55
"250",998451.41,6357997.66
"251",998345.81,6357660.33
"252",998314.1,6357615.79
"253",998258.46,6357560.1
"254",998005.46,6357417.99
"255",998136.85,6357955.73
"256",997793.64,6358108.65
"257",998333.1,6358247.3
"258",997259.15,6357254.59
"259",997235.73,6357232.46
"260",997253.47,6357481.54
"261",996850.44,6357377.44
